#Data take from Libert et al 2017
#https://www.ncbi.nlm.nih.gov/pubmed/29063188
N	Long	Lat	Freq
46	127.00	35.57	0.00
40	40.00	33.00	0.13
166	63.46	40.13	0.16
200	64.42	39.77	0.10
76	64.59	41.38	0.04
34	140.71	-5.09	0.00
44	150.00	-6.05	0.00
100	27.95	53.71	0.23
1368	-2.76	52.71	0.76
2336	-1.54	53.99	0.75
1894	-0.57	51.22	0.70
628	26.40	59.05	0.51
1876	28.00	65.00	0.58
60	26.19	68.26	0.17
360	16.00	60.00	0.82
154	29.00	65.00	0.55
308	24.00	64.00	0.62
48	-1.45	43.40	0.67
170	-1.45	43.40	0.66
58	2.22	46.23	0.43
34	2.22	46.23	0.34
60	10.45	51.17	0.55
64	14.31	51.26	0.50
200	21.83	39.07	0.09
120	21.83	39.07	0.15
220	20.17	46.25	0.62
362	20.17	46.25	0.36
68	-8.00	53.33	0.96
196	12.48	41.90	0.11
440	12.48	41.90	0.14
412	11.25	43.77	0.13
134	13.91	42.22	0.13
36	12.48	41.90	0.08
28	9.68	45.70	0.36
438	12.27	45.60	0.24
1832	10.00	45.70	0.23
66	12.48	41.90	0.09
306	9.12	39.22	0.07
56	9.12	39.22	0.07
42	9.12	39.22	0.18
200	16.25	39.30	0.05
378	16.25	39.30	0.08
310	16.25	39.30	0.18
16	10.98	43.57	0.06
80	11.35	46.50	0.15
76	11.92	46.72	0.42
102	10.77	46.63	0.36
100	21.75	41.61	0.24
110	15.00	54.00	0.62
92	5.86	51.82	0.60
58	5.80	53.20	0.81
88	8.47	60.47	0.84
96	21.00	52.25	0.08
400	19.15	51.92	0.46
446	19.15	51.92	0.30
894	-8.41	40.20	0.40
96	-8.22	39.40	0.44
140	-7.50	40.28	0.39
180	-8.42	41.55	0.37
128	-8.42	41.55	0.38
130	-7.83	38.52	0.27
118	24.97	45.94	0.17
130	25.79	45.86	0.40
60	43.58	54.21	0.27
42	43.58	54.21	0.14
60	44.07	54.24	0.28
32	44.07	54.24	0.41
50	37.62	55.75	0.24
14	37.62	55.75	0.21
298	40.53	64.53	0.39
46	56.25	58.01	0.24
20	54.83	63.86	0.15
34	40.08	44.60	0.12
1032	-3.78	56.00	0.82
58	1.52	41.59	0.26
1718	-3.70	40.51	0.39
62	-3.70	40.51	0.40
74	17.63	59.85	0.67
60	20.87	67.87	0.29
784	15.01	60.03	0.74
74	15.01	60.03	0.78
102	-0.12	51.51	0.75
32	-3.15	59.04	0.69
92	31.17	48.38	0.22
74	31.17	48.38	0.26
120	33.02	34.71	0.01
42	53.69	32.43	0.10
42	53.69	32.43	0.10
154	53.69	32.43	0.03
20	52.53	29.62	0.05
192	34.77	32.07	0.09
302	34.77	32.07	0.02
38	34.77	32.07	0.03
28	34.77	32.07	0.04
192	34.77	32.07	0.04
192	34.77	32.07	0.09
162	34.77	32.07	0.00
84	34.77	32.07	0.02
36	35.20	31.90	0.00
44	34.47	31.50	0.02
112	35.93	31.95	0.05
46	36.24	30.59	0.00
74	48.00	28.83	0.00
66	47.48	29.31	0.03
58	47.94	29.24	0.00
48	35.49	33.89	0.04
684	57.01	23.88	0.01
420	54.43	18.40	0.00
104	58.50	23.53	0.03
94	45.00	23.00	0.00
180	46.72	24.71	0.00
164	50.68	22.30	0.00
164	39.32	29.89	0.01
184	44.13	17.49	0.00
172	39.82	21.42	0.01
248	45.00	23.00	0.00
80	36.30	33.50	0.04
140	39.00	34.80	0.02
98	31.33	38.99	0.03
116	31.33	38.99	0.08
46	44.21	15.35	0.00
478	44.21	15.35	0.00
166	49.37	16.93	0.02
68	44.21	15.35	0.15
86	44.18	13.32	0.00
132	43.00	14.82	0.00
68	43.60	15.70	0.00
80	48.74	15.93	0.04
130	53.85	12.50	0.05
